Employee Number,empNo.requestType,Date and Time, Access Granted?

kd,kpd123.CreatePersonalDetails,2019-03-03 19:01:52,false
kd,kpd123.ReadPersonalDetails,2019-03-03 19:01:52,true
kd,kpd123.CreatePersonalDetails,2019-03-03 19:07:28,false
kd,kpd123.ReadPersonalDetails,2019-03-03 19:07:28,true
kd,kpd123.CreatePersonalDetails,2019-03-03 19:09:24,false
kd,kpd123.ReadPersonalDetails,2019-03-03 19:09:24,true
kd,kpd123.AmendPersonalDetails,2019-03-03 19:09:24,false
kd,abc123.ReadPersonalDetails,2019-03-03 19:11:53,false
kd,kpd123.ReadPersonalDetails,2019-03-03 19:18:07,true
kd,abc123.AmendPersonalDetails,2019-03-03 19:18:07,false
kd,kpd123.ReadPersonalDetails,2019-03-03 19:19:45,true
kd,abc123.AmendPersonalDetails,2019-03-03 19:19:45,false
aja000,aja000.ReadPersonalDetails,2019-03-04 00:32:12,false
aja000,aja000.ReadPersonalDetails,2019-03-04 00:39:44,false
aja000,aja000.CreatePersonalDetails,2019-03-04 00:39:51,false
aja000,aja000.ReadPersonalDetails,2019-03-04 00:42:26,false
aja000,aja000.CreatePersonalDetails,2019-03-04 00:42:31,false
aja000,aja000.CreatePersonalDetails,2019-03-04 00:43:17,false
aja000,aja000.CreatePersonalDetails,2019-03-04 00:46:50,false
aja000,aja000.ReadPersonalDetails,2019-03-04 00:51:09,false
aja000,aja000.CreatePersonalDetails,2019-03-04 00:51:22,false
aja000,aja000.ReadPersonalDetails,2019-03-04 00:53:33,false
aja000,aja000.CreatePersonalDetails,2019-03-04 00:53:40,true
aja000,aja000.CreatePersonalDetails,2019-03-04 00:56:28,false
aja000,aja000.AmendPersonalDetails,2019-03-04 00:57:10,false
aja000,aja000.AmendPersonalDetails,2019-03-04 00:57:16,false
aja000,aja000.AmendPersonalDetails,2019-03-04 00:57:29,false
aja000,aja000.ReadPersonalDetails,2019-03-04 00:57:33,true
aja000,aja000.AmendPersonalDetails,2019-03-04 01:02:40,false
aja000,aja000.AmendPersonalDetails,2019-03-04 01:03:43,false
aja000,aja000.AmendPersonalDetails,2019-03-04 01:04:33,true
aja000,aja000.ReadPersonalDetails,2019-03-04 01:04:33,true
aja000,aja000.AmendPersonalDetails,2019-03-04 01:05:16,true
aja000,aja000.ReadPersonalDetails,2019-03-04 01:05:16,true
aja000,aja000.ReadPersonalDetails,2019-03-04 01:05:19,true
aja000,aja000.AmendPersonalDetails,2019-03-04 02:09:12,true
aja000,aja000.ReadPersonalDetails,2019-03-04 02:09:12,true
aja000,aja000.ReadPersonalDetails,2019-03-04 02:09:15,true
aja000,aja000.ReadPersonalDetails,2019-03-05 13:32:20,true
aja000,aja000.AmendPersonalDetails,2019-03-05 13:32:48,true
aja000,aja000.ReadPersonalDetails,2019-03-05 13:32:48,true
aja000,aja000.AmendPersonalDetails,2019-03-05 13:33:01,true
aja000,aja000.ReadPersonalDetails,2019-03-05 13:33:01,true
aja000,aja000.ReadPersonalDetails,2019-03-05 13:33:04,true
aja000,aaa000.CreatePersonalDetails,2019-03-05 14:07:24,true
aja000,aaa000.AmendPersonalDetails,2019-03-05 14:07:40,true
aja000,aaa000.ReadPersonalDetails,2019-03-05 14:07:40,true
aaa000,aaa000.AmendPersonalDetails,2019-03-05 14:12:53,true
aaa000,aaa000.ReadPersonalDetails,2019-03-05 14:12:53,true
aaa000,aaa000.ReadPersonalDetails,2019-03-05 14:12:56,true
aja000,aja000.ReadPersonalDetails,2019-03-08 12:45:51,true
aja000,ioj000.ReadPersonalDetails,2019-03-08 12:46:04,false
aja000,ioj000.CreatePersonalDetails,2019-03-08 12:46:13,true
aja000,ioj000.ReadPersonalDetails,2019-03-08 12:46:17,true
kda000,kda000.ReadPersonalDetails,2019-03-08 14:13:58,false
kda000,kda000.AmendPersonalDetails,2019-03-08 14:14:26,true
kda000,kda000.ReadPersonalDetails,2019-03-08 14:14:26,false
kda000,kda000.AmendPersonalDetails,2019-03-08 14:14:43,true
kda000,kda000.ReadPersonalDetails,2019-03-08 14:14:43,false
kda000,kda000.AmendPersonalDetails,2019-03-08 14:15:12,true
kda000,kda000.ReadPersonalDetails,2019-03-08 14:15:12,false
kda000,kda000.AmendPersonalDetails,2019-03-08 14:15:31,true
kda000,kda000.ReadPersonalDetails,2019-03-08 14:15:31,false
kda000,kda000.AmendPersonalDetails,2019-03-08 14:15:46,true
kda000,kda000.ReadPersonalDetails,2019-03-08 14:15:46,false
kda000,kda000.AmendPersonalDetails,2019-03-08 14:15:58,true
kda000,kda000.ReadPersonalDetails,2019-03-08 14:15:58,false
kda000,kda000.AmendPersonalDetails,2019-03-08 14:16:18,true
kda000,kda000.ReadPersonalDetails,2019-03-08 14:16:18,false
kda000,kda000.ReadPersonalDetails,2019-03-08 14:16:24,false
aja000,aja000.ReadPersonalDetails,2019-03-08 14:47:44,false
aja000,aja000.AmendPersonalDetails,2019-03-08 14:48:45,true
aja000,aja000.ReadPersonalDetails,2019-03-08 14:48:45,false
aja000,aja000.ReadPersonalDetails,2019-03-08 14:49:26,false
aja000,aja000.CreatePersonalDetails,2019-03-08 14:49:37,true
aja000,aja000.ReadPersonalDetails,2019-03-08 14:50:37,true
kda000,kda000.CreateAnnualReview,2019-03-09 14:12:55,false
kda000,kda000.CreateAnnualReview,2019-03-09 14:19:53,false
kda000,kda000.CreateAnnualReview,2019-03-09 14:20:52,false
kda000,kda000.CreateAnnualReview,2019-03-09 14:26:43,true
kda000,kda000.CreateAnnualReview,2019-03-09 16:53:25,true
kda000,kda000.CreateAnnualReview,2019-03-09 16:53:52,false
kda000,kda000.CreateAnnualReview,2019-03-09 17:07:11,false
kda000,kda001.CreateAnnualReview,2019-03-09 17:07:34,true
kda000,kda002.CreateAnnualReview,2019-03-09 17:25:41,true
kda000,kda000.ReadPersonalDetails,2019-03-09 19:43:13,false
kda000,kda000.AmendPersonalDetails,2019-03-09 19:43:30,true
kda000,kda000.ReadPersonalDetails,2019-03-09 19:43:30,false
kda000,kda000.ReadPersonalDetails,2019-03-09 19:43:39,false
kda000,kda000.ReadAnnualReview,2019-03-09 20:58:58,false
kda000,1.ReadAnnualReview,2019-03-09 23:30:15,false
kda000,kda000.ReadAnnualReview,2019-03-09 23:32:23,false
kda000,kda000.ReadAnnualReview,2019-03-09 23:45:41,false
kda000,kda000.ReadAnnualReview,2019-03-09 23:47:42,false
kda000,kda000.CreateAnnualReview,2019-03-09 23:48:48,true
kda000,kda000.ReadAnnualReview,2019-03-09 23:48:57,false
kda000,kda000.ReadAnnualReview,2019-03-09 23:55:01,false
kda000,kda000.ReadAnnualReview,2019-03-09 23:55:52,false
kda000,kda000.ReadAnnualReview,2019-03-10 00:03:30,false
kda000,kda000.ReadAnnualReview,2019-03-10 00:05:47,true
kda000,kda000.ReadAnnualReview,2019-03-10 00:06:57,true
kda000,kda000.ReadAnnualReview,2019-03-10 00:10:34,true
kda000,aja000.CreateAnnualReview,2019-03-10 00:10:54,true
kda000,aja000.ReadAnnualReview,2019-03-10 00:11:01,true
kda000,kda000.AmendAnnualReview,2019-03-10 00:12:06,false
kda000,kda000.AmendAnnualReview,2019-03-10 00:12:55,true
kda000,kda000.ReadAnnualReview,2019-03-10 00:12:55,true
kda000,3.AmendAnnualReview,2019-03-10 00:15:15,false
kda000,kda000.AmendAnnualReview,2019-03-10 00:15:40,false
kda000,kda000.AmendAnnualReview,2019-03-10 00:15:57,true
kda000,kda000.ReadAnnualReview,2019-03-10 00:15:57,true
kda000,kda000.AmendAnnualReview,2019-03-10 00:16:45,true
kda000,kda000.ReadAnnualReview,2019-03-10 00:16:45,true
kda000,kda000.AmendAnnualReview,2019-03-10 00:17:01,true
kda000,kda000.ReadAnnualReview,2019-03-10 00:17:01,true
kda000,kda000.AmendAnnualReview,2019-03-10 00:17:17,true
kda000,kda000.ReadAnnualReview,2019-03-10 00:17:17,true
kda000,kda000.AmendAnnualReview,2019-03-10 00:17:50,true
kda000,kda000.ReadAnnualReview,2019-03-10 00:17:50,true
kda000,kda000.ReadAnnualReview,2019-03-12 00:57:16,true
kda000,kda000.AmendAnnualReview,2019-03-12 00:58:21,true
kda000,kda000.ReadAnnualReview,2019-03-12 00:58:21,true
kda000,kda000.AmendAnnualReview,2019-03-12 01:04:51,true
kda000,kda000.ReadAnnualReview,2019-03-12 01:04:51,true
kda000,kda000.AmendAnnualReview,2019-03-12 01:07:47,true
kda000,kda000.ReadAnnualReview,2019-03-12 01:07:47,true
kda000,objectives.AmendAnnualReview,2019-03-12 01:10:24,false
kda000,objectives.AmendAnnualReview,2019-03-12 01:12:09,false
kda000,kda000.AmendAnnualReview,2019-03-12 01:19:10,true
kda000,kda000.ReadAnnualReview,2019-03-12 01:19:10,true
kda000,kda000.AmendAnnualReview,2019-03-12 01:26:56,true
kda000,kda000.ReadAnnualReview,2019-03-12 01:26:56,true
kda000,kda000.AmendAnnualReview,2019-03-12 01:27:59,true
kda000,kda000.ReadAnnualReview,2019-03-12 01:27:59,true
kda000,kda000.AmendAnnualReview,2019-03-12 17:53:42,true
kda000,kda000.ReadAnnualReview,2019-03-12 17:53:42,true
kda000,kda000.ReadAnnualReview,2019-03-12 17:58:54,true
kda000,kda000.ReadAnnualReview,2019-03-12 18:02:37,true
kda000,kda000.ReadAnnualReview,2019-03-12 18:04:49,true
kda000,kda000.ReadAnnualReview,2019-03-12 18:48:52,true
kda000,kda000.ReadAnnualReview,2019-03-12 18:55:31,true
kda000,kda000.AmendAnnualReview,2019-03-12 18:56:11,true
kda000,kda000.ReadAnnualReview,2019-03-12 18:56:11,true
kda000,kda000.ReadAnnualReview,2019-03-12 19:00:02,true
kda000,kda000.AmendAnnualReview,2019-03-12 19:00:25,true
kda000,kda000.ReadAnnualReview,2019-03-12 19:00:25,true
kda000,kda000.AmendAnnualReview,2019-03-12 19:01:46,true
kda000,kda000.ReadAnnualReview,2019-03-12 19:01:46,true
kda000,kda000.AmendAnnualReview,2019-03-12 19:02:19,true
kda000,kda000.ReadAnnualReview,2019-03-12 19:02:19,true
kda000,kda000.ReadAnnualReview,2019-03-13 17:47:07,true
kda000,kda000.ReadAnnualReview,2019-03-13 17:49:38,true
kda000,kda000.ReadAnnualReview,2019-03-13 17:51:14,true
kda000,kda000.ReadAnnualReview,2019-03-13 17:55:28,true
kda000,kda000.ReadAnnualReview,2019-03-13 17:56:25,true
kda000,kda000.ReadAnnualReview,2019-03-13 17:57:52,true
kda000,kda000.AmendAnnualReview,2019-03-13 18:10:22,false
kda000,kda000.AmendAnnualReview,2019-03-13 18:52:45,true
kda000,kda000.ReadAnnualReview,2019-03-13 18:52:45,true
kda000,kda000.AmendAnnualReview,2019-03-13 19:02:25,true
kda000,kda000.ReadAnnualReview,2019-03-13 19:02:25,true
kda000,kda000.ReadAnnualReview,2019-03-13 19:04:11,true
kda000,kda000.ReadAnnualReview,2019-03-13 19:05:52,true
kda000,kda000.ReadAnnualReview,2019-03-13 19:08:40,true
kda000,kda000.AmendAnnualReview,2019-03-13 19:18:11,true
kda000,kda000.ReadAnnualReview,2019-03-13 19:18:11,true
kda000,kda000.AmendAnnualReview,2019-03-13 19:18:56,true
kda000,kda000.ReadAnnualReview,2019-03-13 19:18:56,true
kda000,kda000.ReadAnnualReview,2019-03-13 19:20:37,true
kda000,kda000.ReadAnnualReview,2019-03-13 19:22:26,true
kda000,kda000.ReadAnnualReview,2019-03-13 19:23:31,true
kda000,kda000.ReadAnnualReview,2019-03-13 19:25:13,true
kda000,kda000.ReadAnnualReview,2019-03-13 19:33:17,true
kda000,kda000.ReadAnnualReview,2019-03-13 19:33:51,true
kda000,kda000.ReadAnnualReview,2019-03-13 19:35:25,true
kda000,kda000.ReadAnnualReview,2019-03-13 19:36:10,true
kda000,kda000.ReadAnnualReview,2019-03-13 19:56:56,true
kda000,kda000.ReadAnnualReview,2019-03-13 19:58:57,true
kda000,kda000.ReadAnnualReview,2019-03-13 20:02:28,true
kda000,kda000.CreateAnnualReview,2019-03-13 20:16:06,true
kda000,kda000.ReadAnnualReview,2019-03-13 20:16:12,true
kda000,kda000.AmendAnnualReview,2019-03-13 20:18:01,true
kda000,kda000.ReadAnnualReview,2019-03-13 20:18:01,true
kda000,kda000.AmendAnnualReview,2019-03-13 20:19:20,true
kda000,kda000.ReadAnnualReview,2019-03-13 20:19:20,true
kda000,kda000.AmendAnnualReview,2019-03-13 20:20:24,true
kda000,kda000.ReadAnnualReview,2019-03-13 20:20:24,true
kda000,kda000.AmendAnnualReview,2019-03-13 20:20:57,true
kda000,kda000.ReadAnnualReview,2019-03-13 20:20:57,true
kda000,achievements.AmendAnnualReview,2019-03-13 20:23:01,false
kda000,kda000.AmendAnnualReview,2019-03-13 20:23:22,true
kda000,kda000.ReadAnnualReview,2019-03-13 20:23:22,true
kda000,kda000.AmendAnnualReview,2019-03-13 20:24:31,true
kda000,kda000.ReadAnnualReview,2019-03-13 20:24:31,true
kda000,kda000.AmendAnnualReview,2019-03-13 20:25:07,true
kda000,kda000.ReadAnnualReview,2019-03-13 20:25:07,true
kda000,kda000.AmendAnnualReview,2019-03-13 20:25:19,true
kda000,kda000.ReadAnnualReview,2019-03-13 20:25:19,true
kda000,kda000.AmendAnnualReview,2019-03-13 20:27:32,true
kda000,kda000.ReadAnnualReview,2019-03-13 20:27:32,true
