Employee Number,Date and Time,Access Granted?
cfi000,2019-03-02 20:47:49,true
cfi00,2019-03-02 20:53:09,false
cfi000,2019-03-02 20:53:21,true
cfi000,2019-03-02 21:10:03,true
kda000,2019-03-02 21:12:10,true
kda000,2019-03-02 21:14:46,true
cfi000,2019-03-02 21:15:51,false
cf000,2019-03-02 21:15:59,false
cfi000,2019-03-02 21:16:07,false
cfi000,2019-03-02 21:16:13,true
cfi000,2019-03-02 21:17:14,true
cfi000,2019-03-02 21:21:48,true
cfi000,2019-03-02 21:33:23,true
aja000,2019-03-02 21:33:59,true
aja000,2019-03-03 21:43:07,true
aja000,2019-03-03 22:36:51,true
aja000,2019-03-04 00:32:07,true
aja000,2019-03-04 00:39:41,true
aja000,2019-03-04 00:42:21,true
aja000,2019-03-04 00:43:12,true
aja000,2019-03-04 00:46:38,true
aja000,2019-03-04 00:48:57,true
aja000,2019-03-04 00:50:12,true
ioj000,2019-03-04 00:50:57,false
aja000,2019-03-04 00:51:04,true
aja000,2019-03-04 00:51:16,true
aja000,2019-03-04 00:53:26,true
aja000,2019-03-04 00:56:19,true
aja000,2019-03-04 01:05:03,true
aja000,2019-03-04 02:08:53,true
aja000,2019-03-05 13:31:45,true
aja000,2019-03-05 14:04:49,true
aaa000,2019-03-05 14:11:46,false
aja000,2019-03-05 14:11:54,true
aaa000,2019-03-05 14:12:41,false
aaa000,2019-03-05 14:12:46,true
aja000,2019-03-08 12:45:45,true
kda000,2019-03-08 14:13:08,false
kda000,2019-03-08 14:13:45,true
aja000,2019-03-08 14:39:02,false
aja000pa33word,2019-03-08 14:42:41,false
aja000,2019-03-08 14:42:47,true
kda000,2019-03-08 14:54:03,true
kda000,2019-03-09 19:43:03,true
kda000,2019-03-11 18:52:10,true
aja000,2019-03-17 16:46:33,true
aja000,2019-03-17 18:55:12,true
aja000,2019-03-17 20:50:19,true
aja000,2019-03-18 16:47:49,false
aja000,2019-03-18 16:47:57,true
aja000,2019-03-19 13:00:22,true
kda000,2019-03-19 13:02:50,false
aja000,2019-03-19 13:03:08,true
aja000,2019-03-19 13:04:13,true
aja000,2019-03-21 17:30:59,true
aja000,2019-03-21 17:31:45,true
aja000,2019-03-22 17:44:51,true
aja000,2019-03-22 17:58:55,true
aja000,2019-03-22 18:06:50,true
aja000,2019-03-23 13:39:55,true
aja000,2019-03-23 21:58:29,true
aja000,2019-03-23 22:04:13,true
aja000,2019-03-23 22:06:33,true
aja000,2019-03-23 22:08:17,true
aja000,2019-03-23 22:14:15,true
